UNITID,OPEID,OPEID6,INSTNM,CITY,STABBR,ZIP,INSTURL,NPCURL,COSTT4_A,TUITFTE,PCIP01,PCIP11,PCIP15,PCIP43,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52
173203,233900,2339,Central Lakes College-Brainerd,Brainerd,MN,56401-3900,WWW.CLCMN.EDU,www.mnscu.edu/admissions/calculator/centrallakes.html,14569,2568,0.0292,0.0146,0.0511,0.0397,0,0.0574,0.0804,0.0449,0.0324,0.2223,0.0428
17320301,233919,2339,Central Lakes College-Staples Campus,Staples,MN,564793252,WWW.CLCMN.EDU,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
175315,1054600,10546,Century College,White Bear Lake,MN,55110,https://www.century.edu,https://www.century.edu/cost-financial-aid/tuition-rates-fees/net-price-calculator,12412,2943,0.0178,0.0409,0.0315,0.0435,0.0063,0.0446,0,0,0.0215,0.3466,0.0886
173470,960000,9600,Cosmetology Careers Unlimited College of Hair Skin and Nails,Duluth,MN,55802,www.ccucollege.net,www.ccucollege.net,NULL,9980,0,0,0,0,0,0,0,0,0,0,0
173726,2159800,21598,Cosmetology Careers Unlimited College of Hair Skin and Nails,Hibbing,MN,55746,www.ccucollege.net,www.ccucollege.net,NULL,13567,0,0,0,0,0,0,0,0,0,0,0
173416,1040200,10402,Dakota County Technical College,Rosemount,MN,55068-2999,www.dctc.edu/,www.mnscu.edu/admissions/calculator/dakotacounty.html,15845,3663,0.0084,0.0358,0.0549,0,0.0656,0.1014,0.0585,0.0167,0.0561,0.3246,0.2208
482529,1072767,10727,DeVry University-Minnesota,Edina,MN,55435,www.devry.edu,www.devry.edu/financial-aid/net-price-calculator.html,24548,10518,0,0.3061,0.0612,0,0,0,0,0,0,0,0.6327
173489,989200,9892,Duluth Business University,Duluth,MN,55807,www.dbumn.edu,www.dbumn.edu/financial-aid/npcalc.htm,33987,13765,0,0,0,0,0,0,0,0,0.0727,0.6364,0.1636
175227,464100,4641,Dunwoody College of Technology,Minneapolis,MN,55403-1192,www.dunwoody.edu,https://dunwoody.studentaidcalculator.com/survey.aspx,30622,19376,0,0.0847,0.2567,0,0.0702,0.1671,0.1961,0,0.0605,0.0436,0.0726
174978,1260603,12606,Empire Beauty School-Bloomington,Bloomington,MN,55420-4232,www.empire.edu,www.empire.edu/net-price-calculator,NULL,9151,0,0,0,0,0,0,0,0,0,0,0
453570,1260604,12606,Empire Beauty School-Eden Prairie,Eden Prairie,MN,55344,www.empire.edu,www.empire.edu/net-price-calculator,NULL,7943,0,0,0,0,0,0,0,0,0,0,0
456135,945912,9459,Empire Beauty School-Spring Lake Park,Spring Lake Park,MN,55432,www.empire.edu,www.empire.edu/net-price-calculator,NULL,8356,0,0,0,0,0,0,0,0,0,0,0
380368,3129100,31291,Fond du Lac Tribal and Community College,Cloquet,MN,55720-2342,www.fdltcc.edu,www.mnscu.edu/admissions/calculator/fonddulac.html,13738,1883,0,0,0.0094,0.1541,0.0094,0,0,0,0.0063,0.3082,0.0126
456834,464203,4642,Globe University-Minneapolis,Minneapolis,MN,55402,www.globeuniversity.edu/,www.globeuniversity.edu/financial-aid/student-loan-calculator,22284,21730,0,0.1538,0,0.1538,0,0,0,0,0,0,0.3846
173629,464200,4642,Globe University-Woodbury,Woodbury,MN,55125-3388,www.globeuniversity.edu/,www.globeuniversity.edu/financial-aid/student-loan-calculator,26351,19919,0.0043,0.0736,0.1126,0.0996,0,0,0,0,0.0216,0.2684,0.2771
417600,2097300,20973,Hastings Beauty School,Hastings,MN,55033,hastingsbeautyschool.com,www.hastingsbeautyschool.com/net-price-calculator/,NULL,12830,0,0,0,0,0,0,0,0,0,0,0
173683,4044300,40443,Hazelden Betty Ford Graduate School of Addiction Studies,Center City,MN,55012-0011,www.hazeldenbettyford.edu,NULL,NULL,14302,0,0,0,0,0,0,0,0,0,1,0
173708,1049100,10491,Hennepin Technical College,Brooklyn Park,MN,55445,www.hennepintech.edu,www.mnscu.edu/admissions/calculator/hennepin.html,18102,3003,0.0147,0.0746,0.1403,0.1251,0.0223,0.1216,0.0711,0,0.0159,0.2619,0.0505
174154,962108,9621,Herzing University-Minneapolis,Minneapolis,MN,55428-3548,www.herzing.edu,www.herzing.edu/financial-aid/net-price-calculator,27477,16145,0,0,0,0,0,0,0,0,0.0083,0.9583,0.0333
173735,235500,2355,Hibbing Community College,Hibbing,MN,55746,www.hibbing.edu,www.mnscu.edu/admissions/calculator/hibbing.html,13896,4303,0,0.0092,0,0.0585,0.0554,0.1385,0,0.0215,0.0062,0.3477,0.0092
454616,4130200,41302,Institute of Production and Recording,Minneapolis,MN,55401,www.ipr.edu,www.ipr.edu/tuition/student-loan-calculator,29795,23739,0,0,0,0,0,0,0,0,0.0435,0,0
173799,974000,9740,Inver Hills Community College,Inver Grove Heights,MN,55076-3224,www.inverhills.edu,www.mnscu.edu/admissions/calculator/inverhills.html,15281,3183,0,0.0137,0,0.0496,0.0011,0,0,0,0.0063,0.2587,0.0982
173805,235600,2356,Itasca Community College,Grand Rapids,MN,55744-3397,www.itascacc.edu/,www.mnscu.edu/admissions/calculator/itasca.html,15836,2680,0,0,0.027,0.0197,0,0,0,0,0,0.3096,0.0393
470870,10732936,7329,ITT Technical Institute-Brooklyn Center,Brooklyn Center,MN,55430-4100,www.itt-tech.edu,www.itt-tech.edu/npc,28690,14138,0,0.3958,0.5208,0,0,0,0,0,0,0,0.0833
445081,732936,7329,ITT Technical Institute-Eden Prairie,Eden Prairie,MN,55344,www.itt-tech.edu,www.itt-tech.edu/npc,28874,18355,0,0.64,0.36,0,0,0,0,0,0,0,0
173461,575700,5757,Lake Superior College,Duluth,MN,55811-3399,www.lsc.edu,www.mnscu.edu/admissions/calculator/lakesuperior.html,16247,3755,0,0.0207,0.0257,0.0083,0.0265,0.0298,0.0298,0.0505,0.0025,0.4801,0.0447
446844,3022602,30226,Le Cordon Bleu College of Culinary Arts-Minneapolis,Mendota Heights,MN,55120-9914,www.chefs.edu/minneapolis-st-paul,chefs.studentaidcalculator.com,20154,9591,0,0,0,0,0,0,0,0,0,0,0
413626,3096400,30964,Leech Lake Tribal College,Cass Lake,MN,56633,www.lltc.edu,www.lltc.edu/net-price-calculator/,18154,1392,0,0,0,0.1053,0.1053,0,0,0,0,0,0.0526
173966,1173201,11732,Mayo Clinic School of Health Sciences,Rochester,MN,55905,www.mayo.edu/mshs/,NULL,NULL,11490,0,0,0,0,0,0,0,0,0,1,0
367194,3001200,30012,McNally Smith College of Music,Saint Paul,MN,55101-2220,www.mcnallysmith.edu,www.mcnallysmith.edu/financial-aid-office#calc,36089,25041,0,0,0,0,0,0,0,0,1,0,0
173993,400900,4009,Mesabi Range College,Virginia,MN,55792,www.mesabirange.edu,www.mnscu.edu/admissions/calculator/mesabirange.html,11174,2194,0,0,0.0275,0,0.0584,0.1993,0.1031,0,0,0.1409,0.0344
17399301,400901,4009,Mesabi Range College,Eveleth,MN,55734,www.mesabirange.edu,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
440800,3125601,31256,Miami Ad School-Minneapolis,Minneapolis,MN,55401,www.miamiadschool.com,https://miamiadschool.studentaidcalculator.com/survey.aspx,NULL,10300,0,0,0,0,0,0,0,0,0,0,0
174118,464500,4645,Minneapolis Business College,Roseville,MN,55113-0000,minneapolisbusinesscollege.edu,minneapolisbusinesscollege.edu,20902,15418,0,0.1912,0,0,0,0,0,0,0.0294,0.4632,0.2059
